,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Köögi pind,Katastritunnus,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Saadaval,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud,maakond
0,7278871,"Tiigi tn 61a, Vaksali, Vaksali,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,2,103.7 m²,2,3,korteriomand,trepikoda lukus,420000.0,4 050.14 €/m²,"1 320 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,kivimaja,2022,keskküte,"wc ja vannituba eraldi,saun",,,,,,,,,,,,,,,,,,,,,,,,,,,,tartu
1,6456246,"Kuperjanovi 18a, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,valmis,4,,97 m²,3,4,korteriomand,,330000.0,3 402.06 €/m²,"1 037 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",F,kivimaja,1938,,,1,0.00,79507:030:0005,,,,,,,,,,,,,,,,,,,,,,,,,tartu
2,1668620,"Kalevi tn 109, Karlova,Tartu linn, Tartu maakond",2022-10-23,valmis,3,2,80.5 m²,2,2,korteriomand,trepikoda lukus,177000.0,2 198.76 €/m²,"556 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,1930,keskküte,"dušš,boiler",,,79508:041:0003,külmik,kelder,elektripliit,,,,,,,,,,,,,,,,,,,,,,tartu
3,2413636,"Nõva tn 15, Karlova,Tartu linn, Tartu maakond",2022-10-23,valmis,4,3,78 m²,1,5,korteriomand,"turvauks,trepikoda lukus",137300.0,1 760.26 €/m²,"431 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,paneelmaja,1995,keskküte,"dušš,wc ja vannituba eraldi",,,,"mööbel,külmik",kelder,elektripliit,internet,,,,,,,,,,,,,,,,,,,,,tartu
4,5123421,"Mõisavahe tn  63, Annelinn,Tartu linn, Tartu maakond",2022-10-23,uus viimistlus,4,3,78 m²,2,5,korteriomand,"trepikoda lukus,turvauks",139000.0,,"437 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,1992,"põrandaküte,keskküte","wc ja vannituba eraldi,dušš,pesumasin",,9.00,79516:029:0009,külmik,panipaik,elektripliit,"kaabel-TV,internet",6.60,0.00,,,,,,,,,,,,,,,,,,,tartu
5,5474574,"Haagevälja tee 1-33,Haage küla, Tartu linn, Tartu maakond",2022-10-23,renoveeritud,2,1,50 m²,2,3,korteriomand,"videokaamerad,trepikoda lukus,turvauks",117000.0,,"368 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",D,kivimaja,1984,"põrandaküte,maaküte","saun,dušš,boiler,pesumasin",,9.00,83101:003:0826,"mööbel,TV,külmik",panipaik,elektripliit,"kaabel-TV,internet",4.50,0.00,100.00,150.00,,,,,,,,,,,,,,,,,tartu
6,7440200,"Ujula põik 4-2, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,2,,,1,2,korteriomand,,178500.0,,"561 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,,,,79301:001:0963,,,,,,0.00,,,4755603,,,,,,,,,,,,,,,,tartu
7,1142436,"Anne tn 61, Annelinn,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,2,1,42.9 m²,1,9,korteriomand,"trepikoda lukus,turvauks",99000.0,,"311 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,1973,keskküte,"wc ja vannituba eraldi,pesumasin",,,79516:023:0005,"mööbel,mööbli võimalus,külmik",,gaasipliit,,5.00,0.00,70.00,100.00,,jah,,,,,,,,,,,,,,,tartu
8,3150602,"Kaunase pst 82-81, Annelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,4,3,77.7 m²,3,9,,trepikoda lukus,128000.0,1 647.36 €/m²,"402 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,paneelmaja,,keskküte,"vann,wc ja vannituba eraldi",1,,79516:020:0005,,"kelder,garderoob",elektripliit,internet,6.00,,,,,jah,klaasitud rõdu,parkla,,,,,,,,,,,,,tartu
9,8402453,"Kulli tee 11,Rahinge küla, Tartu linn, Tartu maakond",2022-10-23,vajab kapitaalremonti,2,1,39 m²,1,1,korteriomand,naabrivalve,37900.0,,"119 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,puitmaja,,"ahjuküte,elektriküte",,,,83101:003:0083,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus",panipaik,puupliit,,,0.00,,,,,,,,,,,,,,,,,,,tartu
10,6301441,"Eha tn 30,Tartu linn, Tartu maakond",2022-10-23,uus viimistlus,4,3,106.9 m²,1,3,korteriomand,trepikoda lukus,224000.0,,"704 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,1939,"õhksoojuspump,põrandaküte,elektriküte,ahjuküte,kombineeritud küte","wc ja vannituba eraldi,vann,dušš,boiler",,,79508:023:0003,"eraldi sissepääs,kinnine hoov,mööbli võimalus,külmik",panipaik,,"kaabel-TV,internet",,0.00,,,,,,,,,,,,,,,,,,,tartu
11,4876844,"Mõisavahe tn 13, Annelinn,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,3,,65.3 m²,3,5,korteriomand,trepikoda lukus,132800.0,2 033.69 €/m²,"417 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,plokkmaja,,keskküte,"vann,wc ja vannituba eraldi,tsentraalne kanalisatsioon",1,11.00,79516:028:0015,mööbli võimalus,panipaik,gaasipliit,internet,2.00,,,,,,kinnine rõdu,parkla,01.09.2022,,,,,,,,,,,,tartu
12,2235792,"Küüni 5b, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,1,1,34.4 m²,1,2,korteriomand,"trepikoda lukus,turvasüsteem,turvauks",129000.0,3 750 €/m²,"405 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2007,"keskküte,põrandaküte","dušš,pesumasin,tsentraalne kanalisatsioon",1,10.00,,,,elektripliit,"internet,telefon,digi-TV",2.80,,,,,,rõdu,,,bituumen,,,,,,,,,,,tartu
13,1949255,"Anne tn 45, Annelinn,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,2,,51 m²,1,9,korteriomand,trepikoda lukus,99000.0,1 941.18 €/m²,"311 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,kivimaja,1973,,dušš,,,79516:032:0013,"mööbel,mööbli võimalus",,,,,,,,,,rõdu,,,,1742 m²,Added_to_price,http://www.arcovara.ee/320275,,,,,,,,tartu
14,7649699,"J. Hurda 15, Tähtvere,Tartu linn, Tartu maakond",2022-10-23,vajab renoveerimist,5,,123.5 m²,2,2,korteriomand,,350000.0,2 834.01 €/m²,"1 100 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,,1939,,,1,0.00,79501:021:0006,,,elektripliit,,,,,,,,,,,,,,,,,,,,,,tartu
15,2382524,"Salu tee 61,Rõõmu küla, Luunja vald, Tartu maakond",2022-10-23,renoveeritud,2,,43.7 m²,2,2,korteriomand,trepikoda lukus,104000.0,2 379.86 €/m²,"327 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,2006,gaasiküte,"saun,dušš",,,43201:001:0140,,,,,,,,,,,rõdu,,,,1452 m²,Added_to_price,http://www.arcovara.ee/320271,,,,,,,,tartu
16,8087059,"Salu tee 61,Rõõmu küla, Luunja vald, Tartu maakond",2022-10-23,renoveeritud,2,,43.7 m²,2,2,korteriomand,trepikoda lukus,104000.0,2 379.86 €/m²,"327 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,2006,gaasiküte,"saun,dušš",,,43201:001:0140,,,,,,,,,,,rõdu,,,,1452 m²,Added_to_price,http://www.arcovara.ee/320270,,,,,,,,tartu
17,3909718,"Vasara tn 25, Ropka tööstuse,Tartu linn, Tartu maakond",2022-10-23,valmis,1,,11.4 m²,3,5,korteriomand,trepikoda lukus,46000.0,4 035.09 €/m²,"145 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,paneelmaja,1977,,"pesumasin,wc ja vannituba eraldi,dušš",,,79511:005:0023,"mööbel,külmik",,,,,,,,,,,,,,1977 m²,Added_to_price,http://www.arcovara.ee/320260,,,,,,,,tartu
18,3554140,"Vasara tn 25, Ropka,Tartu linn, Tartu maakond",2022-10-23,valmis,1,,11.4 m²,3,5,korteriomand,trepikoda lukus,46000.0,4 035.09 €/m²,"145 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,paneelmaja,1977,,"pesumasin,wc ja vannituba eraldi,dušš",,,79511:005:0023,"mööbel,külmik",,,,,,,,,,,,,,1977 m²,Added_to_price,http://www.arcovara.ee/320259,,,,,,,,tartu
19,1602154,"Tartu tn 11,Võnnu alevik, Kastre vald, Tartu maakond",2022-10-23,valmis,3,2,65 m²,2,4,korteriomand,,49900.0,767.69 €/m²,"157 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,,keskküte,"vann,wc ja vannituba eraldi,dušš,pesumasin",,,91501:003:0344,,,elektripliit,"internet,telefon,kaabel-TV",3.00,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
20,2323214,"Rahu tn 15, Ropka tööstuse,Tartu linn, Tartu maakond",2022-10-23,valmis,1,,35.9 m²,1,5,korteriomand,trepikoda lukus,74000.0,2 061.28 €/m²,"232 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,1987,keskküte,"boiler,dušš",,,79510:004:0011,"mööbel,mööbli võimalus,külmik",,,"kaabel-TV,internet",,,,,0,,,,,,,,,,,,,,,,tartu
21,5219892,"Kaupmehe tn 8-18, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,4,3,83 m²,3,4,korteriomand,,195900.0,2 360.24 €/m²,"615 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,põrandaküte,,,,79601:001:2053,,,,,9.20,,,,4518604,,rõdu,,,,,,,,,,,,,,tartu
22,4643979,"Kaupmehe 8-23, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,2,70 m²,3,4,korteriomand,,176900.0,2 527.14 €/m²,"556 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,,,,79601:001:2053,,,,,7.40,,,,,,rõdu,,,,,,,,,,,,,,tartu
23,3553257,"Kaupmehe tn 8-25, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,2,64.3 m²,4,4,korteriomand,,163900.0,2 548.99 €/m²,"515 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,põrandaküte,,,,79601:001:2053,,,,,6.80,,,,4518604,,rõdu,,,,,,,,,,,,,,tartu
24,6811129,"Kaupmehe tn 8-26, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,4,3,83 m²,4,4,korteriomand,,192900.0,2 324.10 €/m²,"606 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,,,,79601:001:2053,,,,,9.20,,,,,,rõdu,,,,,,,,,,,,,,tartu
25,4852029,"Kaupmehe tn 8-31, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,2,70 m²,4,4,korteriomand,,178900.0,2 555.71 €/m²,"562 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,,,,79601:001:2053,,,,,7.40,,,,,,rõdu,,,,,,,,,,,,,,tartu
26,8674336,"Kaupmehe 8-29, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,2,1,44.8 m²,4,4,korteriomand,,137900.0,3 078.13 €/m²,"433 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,,,,,,,,,,,6.50,,,,,,rõdu,,,,,,,,,,,,,,tartu
27,2727188,"Tähtvere tn 16/18, Supilinn,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,3,,42.4 m²,1,2,korteriomand,trepikoda lukus,139000.0,3 278.30 €/m²,"437 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,palkmaja,,ahjuküte,"dušš,pesumasin",,,79501:033:0037,külmik,,,,,,,,,,,,,,803 m²,Added_to_price,http://www.arcovara.ee/320255,,,,,,,,tartu
28,4879229,"Vabriku tn 10, Vaksali,Tartu linn, Tartu maakond",2022-10-23,valmis,2,,50.5 m²,2,2,korteriomand,,109000.0,2 158.42 €/m²,"342 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,,ahjuküte,dušš,,,79506:002:0014,,,,,,,,,,,,,,,1201 m²,Added_to_price,http://www.arcovara.ee/320250,,,,,,,,tartu
29,5218159,"Rämsi tee 4,Rämsi küla, Elva vald, Tartu maakond",2022-10-23,renoveeritud,4,,77.3 m²,1,2,korteriomand,turvauks,61000.0,789.13 €/m²,"192 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,kivimaja,1975,keskküte,"dušš,wc ja vannituba eraldi,vann",,,60502:001:0178,"mööbel,mööbli võimalus",,,,,,,,,,"rõdu,kinnine rõdu",,,,1735 m²,Added_to_price,http://www.arcovara.ee/320254,,kliimaseade,,,,,,tartu
30,1255259,"Anne tn 45, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,2,,51 m²,1,9,korteriomand,trepikoda lukus,99000.0,1 941.18 €/m²,"311 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,kivimaja,1973,,dušš,,,79516:032:0013,"mööbel,mööbli võimalus",,,,,,,,,,rõdu,,,,1742 m²,Added_to_price,http://www.arcovara.ee/320251,,,,,,,,tartu
31,6616018,"Mõisavahe tn 62, Annelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,,65.4 m²,5,5,korteriomand,,102000.0,,"320 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,paneelmaja,1993,keskküte,,,,,,,elektripliit,,,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,,,tartu
32,3741219,"Vase tn, Karlova,Tartu linn, Tartu maakond",2022-10-23,valmis,4,3,112 m²,1,2,,naabrivalve,226600.0,2 023.21 €/m²,"712 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,puitmaja,,"gaasiküte,põrandaküte","boiler,wc ja vannituba eraldi,dušš",,,,"mööbli võimalus,külmik",panipaik,gaasipliit,,,,,,0,,,,,,,,,jah,,,,,,,tartu
33,3176563,"Ujula tn  84a, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,,4,3,92.4 m²,2,2,korteriomand,,219900.0,2 379.87 €/m²,"691 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,,2014,õhksoojuspump,"dušš,saun,boiler",1,,79514:002:0030,külmik,,elektripliit,,,,,,,,rõdu,,,,,,,,,,,,,,tartu
34,5968511,"Uus tn 10, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,valmis,4,,60.7 m²,5,5,korteriomand,trepikoda lukus,111000.0,1 828.67 €/m²,"349 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,,keskküte,dušš,,,79514:020:0039,,kelder,,,,,,,,,,,,,,,,jah,,,,,,,tartu
35,2143357,"Ravila tn 29, Veeriku,Tartu linn, Tartu maakond",2022-10-23,vajab renoveerimist,5,4,131.2 m²,2,3,korteriomand,naabrivalve,188000.0,1 432.93 €/m²,"591 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,1996,"elektriküte,kamin,õhksoojuspump","wc ja vannituba eraldi,boiler,dušš,saun",,,79502:006:0006,mööbli võimalus,panipaik,elektripliit,"internet,kaabel-TV",,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
36,6205261,"Salu tee 2, Annelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,2,106.5 m²,,2,korteriomand,,195000.0,1 830.99 €/m²,"613 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,puitmaja,2010,"põrandaküte,õhksoojuspump,gaasiküte,keskküte","wc ja vannituba eraldi,saun,vann,boiler",1,,,"mööbli võimalus,külmik",panipaik,elektripliit,internet,,,,,,,"terrass,rõdu",,,,,,,jah,,3,,,,,tartu
37,2725510,"Jaama tn 111a, Jaamamõisa,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,4,2,118.2 m²,1,3,korteriomand,naabrivalve,163000.0,1 379.02 €/m²,"512 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,1995,"kamin,õhksoojuspump","pesumasin,dušš,wc ja vannituba eraldi,saun,boiler",,,79516:026:0030,mööbli võimalus,,elektripliit,,,,,,0,,,,,,,,,jah,,,,,,,tartu
38,3149666,"Jakobi tn 29, Tähtvere,Tartu linn, Tartu maakond",2022-10-23,valmis,3,1,66.7 m²,2,2,korteriomand,trepikoda lukus,195590.0,2 932.38 €/m²,"614 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",F,puitmaja,,"õhksoojuspump,põrandaküte,kamin","saun,boiler,dušš",,,79501:033:0005,mööbli võimalus,panipaik,,"telefon,kaabel-TV,internet",,,,,0,,,,,,,,,jah,,,,,,,tartu
39,4936879,"Jakobi tn 29, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,1,66.7 m²,2,2,korteriomand,trepikoda lukus,195590.0,2 932.38 €/m²,"614 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",F,puitmaja,,"põrandaküte,õhksoojuspump,kamin","boiler,dušš,saun",,,79501:033:0005,mööbli võimalus,panipaik,,"telefon,internet,kaabel-TV",,,,,0,,,,,,,,,jah,,,,,,,tartu
40,4301460,"Mõisavahe tn 71/2, Annelinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,2,1,55.1 m²,5,5,korteriomand,turvauks,168000.0,3 049 €/m²,"528 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",B,kivimaja,2022,"keskküte,põrandaküte","dušš,pesumasin",,,,"mööbel,mööbli võimalus,külmik",panipaik,elektripliit,,,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
41,5876162,"Erminurme tee  18-16, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,2,72.6 m²,3,3,korteriomand,,207900.0,2 863.64 €/m²,"653 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,keskküte,"wc ja vannituba eraldi,saun",,,79601:001:106,,,,,9.80,,,,17873750,,rõdu,,,,,,,,,,,,,,tartu
42,7498224,"Lepa tn 18, Annelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,2,81.2 m²,4,4,korteriomand,trepikoda lukus,189000.0,2 327.59 €/m²,"594 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",F,kivimaja,2007,"gaasiküte,keskküte","pesumasin,dušš,wc ja vannituba eraldi",,,79516:018:0034,mööbli võimalus,panipaik,,"kaabel-TV,telefon,internet",4.10,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
43,1820958,"Ropka tn 2, Ropka,Tartu linn, Tartu maakond",2022-10-23,uusehitis,2,1,45.8 m²,3,3,korteriomand,trepikoda lukus,165000.0,3 602.62 €/m²,"518 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"põrandaküte,keskküte","dušš,tsentraalne kanalisatsioon",1,,,mööbli võimalus,"panipaik,garderoob",,"internet,telefon,digi-TV",3.90,,,,,jah,rõdu,"tasuta parkimine,kindel parkimiskoht kinnistul",,rullmaterjal,,,,,sundventilatsioon,,,,,,tartu
44,4065373,"Teguri tn 31, Karlova,Tartu linn, Tartu maakond",2022-10-23,valmis,2,1,44.8 m²,1,2,korteriomand,,99900.0,2 229.91 €/m²,"314 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,puitmaja,,"kamin,põrandaküte","dušš,boiler",,,,,panipaik,puupliit,,,,,,0,,,,,,,,,jah,,,,,,,tartu
45,5651661,"Pärna allee 3,Vahi alevik, Tartu vald, Tartu maakond",2022-10-23,uusehitis,2,1,51.6 m²,2,2,korteriomand,"turvauks,trepikoda lukus",123500.0,2 393.41 €/m²,"388 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,2007,"põrandaküte,gaasiküte",dušš,,,79401:006:0825,,panipaik,,"kaabel-TV,internet",7.50,,,,0,,rõdu,,,,,,,,,,jah,,,,tartu
46,8593117,"Aardla tn 140, Ränilinn,Tartu linn, Tartu maakond",2022-10-23,valmis,2,1,45.9 m²,5,5,korteriomand,trepikoda lukus,102000.0,2 222.22 €/m²,"320 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",C,kivimaja,1993,keskküte,"wc ja vannituba eraldi,vann",,,,,,elektripliit,,,,,,0,,,,,,,,,jah,,,,,,,tartu
47,8371634,"Ujula tn 2A, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,valmis,1,1,31.4 m²,3,3,korteriomand,"trepikoda lukus,turvauks",135000.0,4 299.36 €/m²,"424 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,2006,"põrandaküte,keskküte","dušš,pesumasin",,,79514:008:0022,"mööbel,mööbli võimalus,külmik",panipaik,,"internet,kaabel-TV",,,,,0,jah,,,,,,,,,,,jah,,,,tartu
48,6708409,"Kroonuaia tn 26, Supilinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,1,52.3 m²,2,3,korteriomand,trepikoda lukus,214000.0,4 091.78 €/m²,"672 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,,"keskküte,kamin,elektriküte,põrandaküte,õhksoojuspump","wc ja vannituba eraldi,dušš,boiler,pesumasin",,,79513:013:0012,"mööbel,külmik",panipaik,,"internet,kaabel-TV",,,,,0,,,,,,,,,jah,,,,,,,tartu
49,6447004,"Lutsu tn 14, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,2,1,47.4 m²,1,4,korteriomand,trepikoda lukus,185000.0,3 902.95 €/m²,"581 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,2022,"keskküte,põrandaküte",dušš,,,79507:008:0007,"mööbel,külmik",panipaik,,"internet,kaabel-TV,telefon",,,,,0,,,,,,,,,,,,,,,,tartu
50,9052473,"Mõisavahe tn 42, Annelinn,Tartu linn, Tartu maakond",2022-10-23,,2,1,46.1 m²,3,9,korteriomand,,77900.0,1 689.80 €/m²,"245 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,1986,,"wc ja vannituba eraldi,vann",1,,,TV,,,,,,,,,,,,,,,Added_to_price,,,,,,"vesi,elekter,küte",,,tartu
51,8321932,"Mõisavahe tn 46, Annelinn,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,4,,78.2 m²,2,9,korteriomand,,123000.0,1 572.89 €/m²,"386 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,1995,keskküte,"wc ja vannituba eraldi,dušš",,,,,,elektripliit,telefon,,,,,,jah,,,,,,,,,,,,,,,tartu
52,8903409,"Kaunase pst 20, Annelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,3,2,65.6 m²,3,5,korteriomand,trepikoda lukus,119000.0,1 814.02 €/m²,"374 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,paneelmaja,1979,keskküte,"pesumasin,wc ja vannituba eraldi,tsentraalne kanalisatsioon,vann",1,9.00,79516:026:0022,mööbli võimalus,"kelder,panipaik",gaasipliit,internet,,,,,,,klaasitud rõdu,tasuta parkimine,,rullmaterjal,,,,,,,,,,,tartu
53,4181014,"Elva tee 13,Rannu alevik, Elva vald, Tartu maakond",2022-10-23,valmis,3,2,65.6 m²,5,5,korteriomand,trepikoda lukus,37500.0,571.65 €/m²,"118 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,,keskküte,"vann,wc ja vannituba eraldi,dušš,boiler",,,66601:008:0074,külmik,,,internet,0.00,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
54,7627367,"Kasesalu tee 1,Võõpste küla, Kastre vald, Tartu maakond",2022-10-23,vajab kapitaalremonti,4,3,93.8 m²,,2,korteriomand,,35000.0,373.13 €/m²,"110 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,,"wc ja vannituba eraldi,vann",,,50101:006:0097,"mööbel,külmik",kelder,,,,,,,,,,,,,,,,,,,,,,,tartu
55,1440463,"Ida tn 9, Jaamamõisa,Tartu linn, Tartu maakond",2022-10-23,valmis,3,,84.3 m²,3,3,korteriomand,,190800.0,,"599 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,paneelmaja,2019,keskküte,,,,,,,elektripliit,,,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,,,,,,,,,tartu
56,2838736,"Salu tee 57,Lohkva küla, Luunja vald, Tartu maakond",2022-10-23,valmis,2,,43.7 m²,2,2,korteriomand,,106900.0,,"336 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,puitmaja,2006,gaasiküte,,,,,,,gaasipliit,,,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,,,tartu
